County, State_Code, Violent_Crime_Total, Murder, Rape, Robbery, Assault, Useless, Property_Crime_Total, Burglary, Larceny-Theft, Vehicle_Theft
Martin, FL ,542,7,28,107,400,481,3,937,806,2,907,224,3,890
Miami-Dade, FL,24,424,218,901,7,774,15,531,27,784,136,030,24,627,92,351,19,052,157,756
Monroe, FL ,460,1,44,91,324,577,4,142,791,2,984,367,4,988
Nassau, FL ,784,2,34,25,723,739,1,433,435,876,122,1,128
Okaloosa, FL ,587,3,39,102,443,572,5,230,1,197,3,712,321,4,202
Okeechobee, FL ,282,1,20,12,249,213,1,128,482,555,91,1,351
Orange, FL ,9,617,61,507,2,407,6,642,9,570,51,677,11,820,33,464,6,393,54,457
Osceola, FL ,1,190,5,102,221,862,1,194,8,916,2,960,5,323,633,9,224
Palm Beach, FL ,8,963,89,487,2,570,5,817,8,152,58,810,13,239,38,658,6,913,63,810
Pasco, FL ,1,622,17,139,242,1,224,1,808,13,610,3,793,8,736,1,081,12,282
Pinellas, FL ,7,472,37,415,1,676,5,344,7,451,42,187,9,295,28,344,4,548,41,908
